frame,time_s,WRIST_x,WRIST_y,WRIST_speed_px_s,WRIST_speed_mm_s,WRIST_accel_mm_s2,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_speed_px_s,THUMB_CMC_speed_mm_s,THUMB_CMC_accel_mm_s2,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_speed_px_s,THUMB_MCP_speed_mm_s,THUMB_MCP_accel_mm_s2,THUMB_IP_x,THUMB_IP_y,THUMB_IP_speed_px_s,THUMB_IP_speed_mm_s,THUMB_IP_accel_mm_s2,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_speed_px_s,THUMB_TIP_speed_mm_s,THUMB_TIP_accel_mm_s2,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_speed_px_s,INDEX_FINGER_MCP_speed_mm_s,INDEX_FINGER_MCP_accel_mm_s2,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_speed_px_s,INDEX_FINGER_PIP_speed_mm_s,INDEX_FINGER_PIP_accel_mm_s2,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_speed_px_s,INDEX_FINGER_DIP_speed_mm_s,INDEX_FINGER_DIP_accel_mm_s2,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_speed_px_s,INDEX_FINGER_TIP_speed_mm_s,INDEX_FINGER_TIP_accel_mm_s2,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_speed_px_s,MIDDLE_FINGER_MCP_speed_mm_s,MIDDLE_FINGER_MCP_accel_mm_s2,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_speed_px_s,MIDDLE_FINGER_PIP_speed_mm_s,MIDDLE_FINGER_PIP_accel_mm_s2,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_speed_px_s,MIDDLE_FINGER_DIP_speed_mm_s,MIDDLE_FINGER_DIP_accel_mm_s2,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_speed_px_s,MIDDLE_FINGER_TIP_speed_mm_s,MIDDLE_FINGER_TIP_accel_mm_s2,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_speed_px_s,RING_FINGER_MCP_speed_mm_s,RING_FINGER_MCP_accel_mm_s2,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_speed_px_s,RING_FINGER_PIP_speed_mm_s,RING_FINGER_PIP_accel_mm_s2,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_speed_px_s,RING_FINGER_DIP_speed_mm_s,RING_FINGER_DIP_accel_mm_s2,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_speed_px_s,RING_FINGER_TIP_speed_mm_s,RING_FINGER_TIP_accel_mm_s2,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_speed_px_s,PINKY_MCP_speed_mm_s,PINKY_MCP_accel_mm_s2,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_speed_px_s,PINKY_PIP_speed_mm_s,PINKY_PIP_accel_mm_s2,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_speed_px_s,PINKY_DIP_speed_mm_s,PINKY_DIP_accel_mm_s2,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_speed_px_s,PINKY_TIP_speed_mm_s,PINKY_TIP_accel_mm_s2,WRIST_path_mm,THUMB_CMC_path_mm,THUMB_MCP_path_mm,THUMB_IP_path_mm,THUMB_TIP_path_mm,INDEX_FINGER_MCP_path_mm,INDEX_FINGER_PIP_path_mm,INDEX_FINGER_DIP_path_mm,INDEX_FINGER_TIP_path_mm,MIDDLE_FINGER_MCP_path_mm,MIDDLE_FINGER_PIP_path_mm,MIDDLE_FINGER_DIP_path_mm,MIDDLE_FINGER_TIP_path_mm,RING_FINGER_MCP_path_mm,RING_FINGER_PIP_path_mm,RING_FINGER_DIP_path_mm,RING_FINGER_TIP_path_mm,PINKY_MCP_path_mm,PINKY_PIP_path_mm,PINKY_DIP_path_mm,PINKY_TIP_path_mm
0,0.0,431.5604019165039,125.95943927764893,,,,425.7424545288086,150.71549892425537,,,,411.54918670654297,169.24561500549316,,,,392.87471771240234,181.1046552658081,,,,376.66454315185547,186.27179145812988,,,,407.1867370605469,145.6034803390503,,,,379.67517852783203,164.67046737670898,,,,372.1205139160156,176.7501926422119,,,,369.76768493652344,184.43693161010742,,,,398.86226654052734,131.625337600708,,,,368.61183166503906,154.4322967529297,,,,362.92327880859375,167.56845474243164,,,,364.43614959716797,174.51802253723145,,,,390.7405471801758,123.47887516021729,,,,361.7803955078125,145.37355422973633,,,,358.4889221191406,158.601393699646,,,,361.76910400390625,166.34878635406494,,,,384.2593002319336,120.67570209503174,,,,361.95621490478516,136.5218210220337,,,,358.1239700317383,148.73013496398926,,,,360.6110382080078,157.1716547012329,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04,424.84275817871094,127.9662036895752,175.27450041449782,182.83666721278848,,423.13682556152344,148.88714790344238,79.57767341748331,83.01102874515385,,410.94207763671875,168.43591690063477,25.30059835846415,26.392185237507046,,394.4862747192383,179.89005088806152,50.45034551865805,52.62701084613731,,379.5068359375,187.68153190612793,79.31738621689716,82.73951152981007,,409.11773681640625,146.79555416107178,56.73292724620925,59.18065271555331,,382.36324310302734,164.36678409576416,67.62911122228249,70.5469493463314,,373.48270416259766,176.61392211914062,34.22473450720015,35.70135061712262,,370.1974868774414,184.55155849456787,11.120617986929792,11.600413781060483,,400.67176818847656,133.6124610900879,67.18889405984547,70.08773914382326,,371.95030212402344,156.2001085281372,94.4409321946584,98.51555845320222,,365.9941864013672,170.4247283935547,104.84742668949167,109.3710380940169,,366.55799865722656,178.69497299194336,117.12482266472594,122.17813870965136,,392.2268295288086,125.45165061950684,61.74988984115968,64.41407068692233,,365.1555633544922,146.986985206604,93.52445372192967,97.55953878616727,,361.85054779052734,159.94375705718994,90.49332343536062,94.39763127438759,,363.5956573486328,167.83116817474365,58.8098258340524,61.34715848246279,,384.75677490234375,121.9579267501831,34.38369084662211,35.867165081083584,,362.6755905151367,139.3846035003662,73.79458307955422,76.97842867453927,,359.01851654052734,150.50951957702637,49.78970185628201,51.93786390714484,,360.00728607177734,157.6882553100586,19.865057749757508,20.722129827019675,,7.313466688511539,3.320441149806154,1.055687409500282,2.1050804338454925,3.309580461192403,2.3672261086221322,2.821877973853256,1.428054024684905,0.46401655124241936,2.8035095657529303,3.9406223381280885,4.374841523760676,4.887125548386055,2.5765628274768932,3.9023815514466906,3.775905250975504,2.4538863392985117,1.4346866032433434,3.079137146981571,2.0775145562857933,0.828885193080787
2,0.08,421.3818359375,129.398832321167,93.6429640835509,97.68316224250441,-2128.837624257102,422.54852294921875,149.88397121429443,28.936964646263476,30.18544147988042,-1320.6396816318356,411.33148193359375,168.73618125915527,12.293148280201791,12.823532549169396,-339.21631720844124,395.0400924682617,179.73376750946045,14.386160744799886,15.00684742130973,-940.5040856206895,380.13851165771484,187.45190620422363,16.802942050500832,17.52790004603016,-1630.2902870944977,410.6529235839844,147.5361156463623,42.61183612597183,44.45031126984034,-368.25853614282414,382.4977493286133,165.34772872924805,24.75308438713007,25.821048936821967,-1118.1475102377358,373.3774185180664,177.40728378295898,20.00793274805327,20.871169125118676,-370.7545373000986,370.2973937988281,184.94935512542725,10.253766151518482,10.69616187802221,-22.606297575956845,401.6836166381836,134.46720600128174,33.113688147674495,34.54236848900829,-888.6342663703741,372.40062713623047,157.17601776123047,26.869958223078115,28.029254672165074,-1762.1575945259287,367.19993591308594,170.42447090148926,30.14373848032299,31.444281216278206,-1948.168921943467,368.07838439941406,177.29066848754883,51.7424145775845,53.974825844806304,-1705.0828216211264,392.5783920288086,126.31522178649902,23.30975321440709,24.31544566492031,-1002.4656255500505,365.39440155029297,148.16704273223877,30.099620508203856,31.398259787220507,-1654.0319749736689,362.19642639160156,160.75162410736084,21.96988247341243,22.917766594661618,-1786.9966169931495,363.71341705322266,168.04550170898438,6.113827152713261,6.37760642805223,-1374.238801360264,384.3400192260742,122.86999225616455,25.069263811788332,26.150869829815893,-242.9073812816923,363.1726837158203,140.16659259796143,23.16528381711033,24.164743177944093,-1320.3421374148795,359.06028747558594,150.98078727722168,11.827881685424703,12.338192163926173,-989.9917935804666,359.0692901611328,157.94813632965088,24.333290888335846,25.383143570920932,116.52534359753145,11.220793178211716,4.527858809001371,1.5686287114670576,2.7053543306978813,4.01069646303361,4.145238559415746,3.8547199313261347,2.262900789689652,0.8918630263633076,4.1852043053132615,5.061792525014692,5.632612772411805,7.046118582178306,3.549180654073706,5.158311942935511,4.692615914761968,2.708990596420601,2.480721396435979,4.045726874099334,2.5710422428428403,1.8442109359176242
3,0.12,421.09798431396484,130.2784538269043,23.10716525153923,24.104117103945427,-1839.4761284639746,422.69309997558594,150.52155017852783,16.34413985550539,17.049302965196947,-328.40346286708683,411.31011962890625,169.10284996032715,9.182261584184726,9.578427561100543,-81.12762470172132,394.89097595214844,179.5868682861328,5.233015215438978,5.458792118659688,-238.70138256625103,380.1824951171875,186.56201362609863,22.27447172927371,23.23549726443276,142.68993046006494,411.4094543457031,148.01043033599854,22.32309927843054,23.28622283490385,-529.1022108734123,383.1039810180664,165.48754692077637,15.553656884705608,16.22471483898517,-239.9083524459199,373.0763244628906,177.8895664215088,14.213861489509942,14.827114365297817,-151.10136899552148,369.47330474853516,185.87332248687744,30.951963264044362,32.28737662071485,539.780368567316,402.9008102416992,134.9084758758545,32.36780200527994,33.764301308254005,-19.451679518857112,373.8249206542969,156.79537296295166,36.857008221492755,38.44719300705922,260.4484583723536,367.72823333740234,170.1840305328369,14.510981604827428,15.137053640651958,-407.68068939065626,367.8489685058594,177.059326171875,8.145202546469642,8.496624916047654,-1136.9550232189663,394.20536041259766,126.46993160247803,40.85768936970013,42.62048236740228,457.62591756204927,366.688232421875,147.05201625823975,42.700134381941744,44.54241912810873,328.6039835222057,362.6695251464844,159.8420763015747,25.630787674226337,26.736620474238354,95.4713469894184,363.9554214477539,167.23617553710938,21.118341842079467,22.029486493100908,391.29700162621697,386.35509490966797,122.56030082702637,50.968365138905455,53.16738027062797,675.412761020302,364.3356704711914,138.64601612091064,47.858456774435055,49.92329582393278,643.9638161497172,359.43992614746094,149.73798751831055,32.48727406551472,33.88892795540869,538.7683947870629,359.43431854248047,157.03160762786865,24.663619214086154,25.727723815185435,8.614506106612563,12.184957862369533,5.209830927609249,1.9517658139110796,2.923706015444269,4.94011635361092,5.0766874728119005,4.503708524885542,2.8559853643015645,2.1833580911919017,5.535776357643422,6.59968024529706,6.238094918037883,7.3859835788202135,5.253999948769797,6.940008708059861,5.762080733731502,3.590170056144637,4.607416607261098,6.042658707056646,3.926599361059188,2.873319888525042
4,0.16,419.94983673095703,130.1559019088745,28.866739564976214,30.112186558103744,150.20173635395793,422.5485610961914,149.87059593200684,16.67020018476729,17.38943107151913,8.503202658054576,411.1914825439453,168.76474857330322,8.957793598158364,9.344274969799637,-5.8538147825226705,394.7782516479492,179.3593454360962,6.347903987044896,6.621782438594013,29.074757998358123,380.1454162597656,186.02445602416992,13.470871748402601,14.052068550212887,-229.5857178554968,411.42406463623047,147.06250190734863,23.701025379083898,24.72359915212731,35.93440793058651,382.9351806640625,164.86085414886475,16.22570086849323,16.925753962905393,17.525978098005535,372.2043228149414,177.825665473938,21.858496705037258,22.801575120051844,199.36151886885068,367.8843307495117,186.4555549621582,42.30715826580133,44.13248817295311,296.12778880595647,402.00428009033203,134.01094436645508,31.71483409497895,33.08316128940356,-17.028500471261054,373.2223892211914,156.25310897827148,20.265339205176037,21.139681308169155,-432.6877924722516,367.71812438964844,170.10141849517822,2.08070594853229,2.1704773950563805,-324.1644061398894,368.6207962036133,177.08240032196045,19.304313174493238,20.13719209188699,291.01417939598343,392.9107666015625,125.82379817962646,36.17199828334417,37.73262851648849,-122.1963462728448,366.04530334472656,146.66430473327637,18.76962347838207,19.579433366009606,-624.0746440524782,362.6679229736328,159.68467712402344,3.935183290812382,4.104965617143908,-565.7913714273611,364.63340759277344,167.00769424438477,17.886253694589623,18.65795085256276,-84.28839101345372,385.07457733154297,122.15283393859863,33.59459157598972,35.04402035437619,-453.08399790629466,363.72581481933594,138.43749046325684,16.11301620585071,16.808207553616914,-827.8772067578966,359.4441604614258,149.69903469085693,0.9795573558321634,1.0218200700077997,-821.6776971350223,359.9882507324219,156.8802309036255,14.356091557590482,14.97548090785704,-268.8060726832099,13.389445324693684,5.9054081704700145,2.325536812703065,3.1885773129880293,5.502199095619435,6.065631438896993,5.180738683401757,3.7680483691036386,3.9486576181100257,6.859102809219564,7.445267497623826,6.324914013840139,8.191471262495693,6.763305089429337,7.723186042700245,5.926279358417259,4.336488090247148,6.009177421436146,6.714987009201322,3.9674721638595,3.472339124839324
5,0.2,419.7200393676758,130.26692390441895,6.38027779889339,6.6555530090384,-586.4158387266336,422.4977493286133,150.04045486450195,4.432401484578801,4.623636143722655,-319.14487319491184,411.46690368652344,168.84929180145264,7.202619454275114,7.513374353413518,-45.77251540965297,394.96334075927734,179.26368713378906,5.2086760513419526,5.433402848482214,-29.709489752794973,380.3337860107422,186.1093282699585,5.165175528731352,5.388025508610596,-216.60107604005728,411.04679107666016,146.58127784729004,15.287084719014675,15.946641495564625,-219.42394141406712,383.3792495727539,164.02005672454834,23.77153634606259,24.797152294049535,196.78495827860357,373.2640075683594,177.08953857421875,32.256923569955866,33.648639055430685,271.17659838447105,369.39361572265625,185.66526889801025,42.59176265243628,44.429371732189715,7.42208898091512,401.7194366455078,133.70904922485352,10.376550022224247,10.824243222737149,-556.4729516666604,373.3479309082031,154.66801643371582,39.75140791518976,41.46647072472946,508.1697354140077,365.73326110839844,169.51189041137695,51.76404161460029,53.99738597397686,1295.672714473012,364.53582763671875,178.21386337280273,105.96926685346585,110.54127972209986,2260.1021907553218,392.6711654663086,126.06588363647461,8.51520964335052,8.882595860359547,-721.2508164032236,366.5106964111328,145.6398582458496,28.13006967486077,29.343733262124026,244.10749740286047,361.1441421508789,159.56823348999023,38.205587906903666,39.85395676658101,893.7247787359274,361.2548065185547,168.506441116333,92.40260888121183,96.38929227956393,1943.2835356750293,384.8917770385742,123.0763578414917,23.53604079816079,24.551496359957635,-262.3130998604638,363.9915466308594,138.5454797744751,7.17090854568488,7.480295286993609,-233.19780666558262,358.28224182128906,150.27371406555176,32.406705613931166,33.80488340166473,819.5765832914233,357.3636245727539,158.74759197235107,80.52833289829344,84.00270414981635,1725.680581048983,13.655667445055219,6.090353616218921,2.6260717868396055,3.4059134269273184,5.71772011596386,6.703497098719578,6.172624775163739,5.113993931320866,5.725832487397614,7.292072538129051,9.103926326613005,8.484809452799214,12.613122451379686,7.118608923843718,8.896935373185206,7.520437629080499,8.192059781429705,6.991237275834451,7.0141988206810675,5.319667499926089,6.832447290831978
6,0.24,419.4683837890625,130.40016174316406,7.118762705021815,7.425899629363451,19.258665508126292,422.05970764160156,150.12343883514404,11.145819253861507,11.626702349246033,175.07665513808445,410.94146728515625,168.9405870437622,13.332718991968202,13.907955233712249,159.86452200746828,394.61551666259766,179.31007862091064,8.772605524742653,9.1510970113926,92.94235407275966,380.0001525878906,186.28227710723877,9.394897589923746,9.800237684802632,110.30530440480089,410.9284973144531,146.8352508544922,7.004271132869403,7.306468351985421,-216.0043285894801,382.35389709472656,164.7286605834961,31.159540404108803,32.503909615469894,192.66893303550896,372.43446350097656,177.8140354156494,27.534512808621532,28.72248126995536,-123.15394463688314,369.05052185058594,186.17550373077393,15.371503456428151,16.034702454588842,-709.8667319400219,401.8275451660156,133.79186153411865,3.4045310591376574,3.5514185509192657,-181.82061679544708,372.41966247558594,155.22388458251953,27.049395578367765,28.216433799402928,-331.2509231331633,365.7106399536133,169.87413883209229,9.073850993189378,9.46533962702409,-1113.3011586738191,365.51239013671875,177.85117149353027,26.043469859261737,27.167107710838817,-2084.354300281526,392.9806137084961,125.96434593200684,8.14202524028568,8.493310525922357,-9.732133360929751,365.9658432006836,145.81214904785156,14.286119605041831,14.902490035983995,-361.0310806535008,361.26548767089844,159.66293334960938,3.848116311968055,4.014142159090757,-895.9953651872562,362.09808349609375,167.9605007171631,25.114325845685542,26.197876051919575,-1754.7854056911087,385.3878402709961,122.68258094787598,15.83388321974602,16.517031456878126,-200.86162257698774,363.8528823852539,138.08505535125732,12.021294192617976,12.539949396888524,126.49135274737287,358.56056213378906,149.77266311645508,14.329040659199352,14.94726290640646,-471.44051238145687,358.23150634765625,157.74398803710938,33.17038997773718,34.60151670286147,-1235.029686173872,13.952703430229757,6.555421710188763,3.1823899961880953,3.7719573073830226,6.109729623355964,6.995755832798994,7.472781159782535,6.262893182119081,6.367220585581168,7.434129280165821,10.23258367858912,8.863423037880176,13.699806759813239,7.458341344880613,9.493034974624566,7.681003315444129,9.239974823506488,7.651918534109576,7.515796796556608,5.917558016182348,8.216507958946437
7,0.28,419.0467834472656,130.73081016540527,13.394850394224358,13.972767277055167,163.6716911922929,421.9666290283203,150.40021419525146,7.300181000022943,7.6151451633743354,-100.28892964679244,411.10130310058594,168.9225196838379,4.021342856303408,4.194842511761365,-242.8278180487721,394.97005462646484,179.25408840179443,8.973296233121793,9.360446461391549,5.233736249973697,380.35255432128906,186.197190284729,9.063206836815258,9.454236231652066,-8.650036328764132,410.7128143310547,146.82599544525146,5.397036914355409,5.629890485561546,-41.91444666059687,382.21492767333984,165.13122081756592,10.646808269820559,11.106161682983352,-534.9436983121635,372.8211975097656,178.1609058380127,12.987548928313508,13.547892909124215,-379.3647090207786,369.9247741699219,186.20956420898438,21.87288895585398,22.81658832029944,169.54714664276497,401.30340576171875,133.86298656463623,13.223579439367237,13.794106887195982,256.0672084069179,371.87305450439453,155.807204246521,19.985027279515517,20.847275406873948,-184.22895981322452,366.0785675048828,170.32260417938232,14.501979405911475,15.127663044509982,141.5580854371473,366.64833068847656,177.78779983520508,28.44267155400852,29.66982225745801,62.56786366547979,392.3320007324219,126.12454891204834,16.70261558009017,17.423245019544687,223.24836234055826,365.33935546875,146.25153064727783,19.130196486472723,19.955563190543582,126.32682886398969,361.58050537109375,159.80069160461426,8.595547112398304,8.96639946589413,123.8064326700843,362.9136276245117,167.51043319702148,23.28724165293406,24.291962848744824,-47.64783007936879,384.77054595947266,122.8696060180664,16.12510937790287,16.820822482022468,7.594775628608552,363.2809066772461,138.28870296478271,15.178697264703441,15.83357769639772,82.3407074877299,358.71837615966797,149.81595039367676,4.091076809149292,4.267585115504428,-266.99194477255077,358.8778305053711,157.33168601989746,19.165852939583978,19.992758030843078,-365.2189668004597,14.511614121311963,6.860027516723736,3.35018369665855,4.146375165838684,6.487899072622047,7.220951452221457,7.917027627101869,6.804808898484049,7.279884118393146,7.985893555653661,11.06647469486408,9.468529559660576,14.88659965011156,8.1552711456624,10.291257502246308,8.039659294079895,10.21165333745628,8.324751433390475,8.149139904412516,6.0882614208025245,9.01621828018016
8,0.32,417.92198181152344,130.3881025314331,29.39629273130268,30.66458714012875,417.2954965768396,421.60987854003906,150.631742477417,10.632387323980629,11.09111854967421,86.89933465749687,410.37342071533203,169.3593978881836,21.223149686651748,22.138816241318903,448.59934323893845,393.8996124267578,179.4856309890747,27.3799478706369,28.56124767315588,480.0200302941082,379.10789489746094,186.32497787475586,31.280053043923132,32.62962173770421,579.3846376513036,410.7139587402344,146.56489849090576,6.527486558822466,6.809113047642472,29.48056405202315,381.1469268798828,165.74692726135254,30.81923222341465,32.14891893835358,526.0689313842557,372.4758529663086,178.4349775314331,11.02208427515744,11.497628861257784,-51.25660119666078,370.6494903564453,185.78161239624023,21.040976466172946,21.948783210792524,-21.695127737672948,400.89351654052734,133.44150066375732,14.698204360750175,15.3323540673447,38.456179503717934,370.8199691772461,156.40874862670898,30.319592959741836,31.627722885519,269.5111869661263,366.4634704589844,170.31081676483154,9.627085073436739,10.042442829040079,-127.13050538674757,368.89930725097656,176.6201877593994,63.39466383543023,66.12980797169293,911.4996428558729,391.416015625,125.96428871154785,23.247473638052597,24.250479054551146,170.68085087516147,364.00074005126953,147.46639251708984,45.19250904906384,47.142326567608094,679.6690844266128,361.6841506958008,160.284161567688,12.361370234730762,12.894697919872618,98.2074613494622,364.51622009277344,166.64288520812988,45.55863071608284,47.52424444632884,580.8070399396004,383.3348846435547,123.21255683898926,36.90137768087876,38.49347677372799,541.816357292638,362.0545959472656,139.96813774108887,51.98761375517565,54.230604068838126,959.9256593110102,358.9399719238281,150.89515686035156,27.543049036989803,28.731385791387346,611.5950168970729,360.61275482177734,157.06003189086914,43.90158275532208,45.79570363839176,645.073640188717,15.738197606917113,7.303672258710704,4.235736346311306,5.2888250727649195,7.793083942130215,7.493315974127156,9.202984384636013,7.264714052934361,8.157835446824848,8.59918771834745,12.33158361028484,9.870227272822179,17.531791968979277,9.125290307844445,12.176950564950632,8.5554472108748,12.112623115309434,9.864490504339594,10.318364067166042,7.237516852458018,10.848046425715829
9,0.36,418.50391387939453,130.08919715881348,16.35522380994843,17.060865133596298,-340.09305016331126,422.01904296875,150.25713443756104,13.868730864048768,14.46709318045257,84.39936576945901,410.8491897583008,168.94761085510254,15.730637758469495,16.40933150052392,-143.2371185198746,394.30206298828125,179.20608043670654,12.25038177466002,12.778920895317277,-394.55816944596506,379.55665588378906,186.40382766723633,11.390887603266608,11.88234410054816,-518.6819409289013,410.6281280517578,146.06366157531738,12.713313706330473,13.261825889100406,161.31782103644835,381.3740921020508,165.7145118713379,5.7366581992711785,5.984164630983033,-654.1188576842637,372.4967575073242,178.3350706100464,2.5517632110030735,2.661858284648771,-220.89426441522534,370.53897857666016,185.61758995056152,4.944454984987511,5.157782041887924,-419.775029222615,400.8958435058594,133.34976196289062,2.2942052006585794,2.3931880096573663,-323.4791514421833,370.77674865722656,156.94504737854004,13.450937805742067,14.031274563455863,-439.9112080515784,366.4272689819336,170.83568572998047,13.152898385839777,13.720376320390837,91.94833728376896,368.9713668823242,177.0023488998413,9.722388072568949,10.14185764805545,-1399.698758090937,391.50794982910156,126.09272003173828,3.9486154131578535,4.11897726445959,-503.28754475228885,364.1670608520508,148.16043376922607,17.84229295170857,18.6120934363524,-713.2558282813924,361.88915252685547,160.85406303405762,15.141281156700956,15.794547281413964,72.49623403853364,364.71923828125,166.93870067596436,8.969503047216195,9.356489619595063,-954.1938706683443,383.5523223876953,123.40714931488037,7.294921360542441,7.609658598294524,-772.0954543858367,362.0903778076172,140.36643505096436,9.997533714130121,10.428874367442475,-1095.0432425348913,358.9516830444336,151.29590034484863,10.022864196198157,10.455297725713418,-456.9022016418482,360.6808090209961,157.3198127746582,6.713674553361766,7.003334068476046,-969.8092392478928,16.420632212260966,7.8823559859288075,4.892109606332263,5.79998190857761,8.268377706152142,8.023789009691173,9.442350969875333,7.371188384320311,8.364146728500364,8.694915238733744,12.892834592823073,10.419042325637813,17.937466274901496,9.29004939842283,12.921434302404727,9.187229102131358,12.486882700093236,10.168876848271374,10.735519041863741,7.655728761486555,11.12817978845487
