frame,time_s,WRIST_x,WRIST_y,WRIST_speed_px_s,WRIST_speed_mm_s,WRIST_accel_mm_s2,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_speed_px_s,THUMB_CMC_speed_mm_s,THUMB_CMC_accel_mm_s2,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_speed_px_s,THUMB_MCP_speed_mm_s,THUMB_MCP_accel_mm_s2,THUMB_IP_x,THUMB_IP_y,THUMB_IP_speed_px_s,THUMB_IP_speed_mm_s,THUMB_IP_accel_mm_s2,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_speed_px_s,THUMB_TIP_speed_mm_s,THUMB_TIP_accel_mm_s2,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_speed_px_s,INDEX_FINGER_MCP_speed_mm_s,INDEX_FINGER_MCP_accel_mm_s2,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_speed_px_s,INDEX_FINGER_PIP_speed_mm_s,INDEX_FINGER_PIP_accel_mm_s2,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_speed_px_s,INDEX_FINGER_DIP_speed_mm_s,INDEX_FINGER_DIP_accel_mm_s2,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_speed_px_s,INDEX_FINGER_TIP_speed_mm_s,INDEX_FINGER_TIP_accel_mm_s2,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_speed_px_s,MIDDLE_FINGER_MCP_speed_mm_s,MIDDLE_FINGER_MCP_accel_mm_s2,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_speed_px_s,MIDDLE_FINGER_PIP_speed_mm_s,MIDDLE_FINGER_PIP_accel_mm_s2,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_speed_px_s,MIDDLE_FINGER_DIP_speed_mm_s,MIDDLE_FINGER_DIP_accel_mm_s2,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_speed_px_s,MIDDLE_FINGER_TIP_speed_mm_s,MIDDLE_FINGER_TIP_accel_mm_s2,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_speed_px_s,RING_FINGER_MCP_speed_mm_s,RING_FINGER_MCP_accel_mm_s2,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_speed_px_s,RING_FINGER_PIP_speed_mm_s,RING_FINGER_PIP_accel_mm_s2,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_speed_px_s,RING_FINGER_DIP_speed_mm_s,RING_FINGER_DIP_accel_mm_s2,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_speed_px_s,RING_FINGER_TIP_speed_mm_s,RING_FINGER_TIP_accel_mm_s2,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_speed_px_s,PINKY_MCP_speed_mm_s,PINKY_MCP_accel_mm_s2,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_speed_px_s,PINKY_PIP_speed_mm_s,PINKY_PIP_accel_mm_s2,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_speed_px_s,PINKY_DIP_speed_mm_s,PINKY_DIP_accel_mm_s2,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_speed_px_s,PINKY_TIP_speed_mm_s,PINKY_TIP_accel_mm_s2,WRIST_path_mm,THUMB_CMC_path_mm,THUMB_MCP_path_mm,THUMB_IP_path_mm,THUMB_TIP_path_mm,INDEX_FINGER_MCP_path_mm,INDEX_FINGER_PIP_path_mm,INDEX_FINGER_DIP_path_mm,INDEX_FINGER_TIP_path_mm,MIDDLE_FINGER_MCP_path_mm,MIDDLE_FINGER_PIP_path_mm,MIDDLE_FINGER_DIP_path_mm,MIDDLE_FINGER_TIP_path_mm,RING_FINGER_MCP_path_mm,RING_FINGER_PIP_path_mm,RING_FINGER_DIP_path_mm,RING_FINGER_TIP_path_mm,PINKY_MCP_path_mm,PINKY_PIP_path_mm,PINKY_DIP_path_mm,PINKY_TIP_path_mm
3,0.12,462.4763488769531,277.74118423461914,,,,467.0521545410156,251.12794876098633,,,,474.1431427001953,223.72644424438477,,,,472.56874084472656,202.60519981384277,,,,468.09940338134766,185.57673454284668,,,,499.58457946777344,222.7630376815796,,,,504.5009231567383,188.5576343536377,,,,497.01927185058594,168.75665187835693,,,,486.6402053833008,156.43155097961426,,,,492.2775650024414,227.8150177001953,,,,498.92478942871094,191.7926788330078,,,,491.4945602416992,170.10578155517578,,,,481.96739196777344,155.8817481994629,,,,480.284423828125,233.7678623199463,,,,485.16082763671875,199.3199872970581,,,,480.2286911010742,178.12253952026367,,,,473.85353088378906,164.33391094207764,,,,463.41331481933594,239.2292833328247,,,,464.0620422363281,213.64778995513916,,,,462.54920959472656,197.42337226867676,,,,460.2626419067383,185.28037548065186,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.16,468.74481201171875,261.0966682434082,444.64419951068203,463.82824279501864,,478.80374908447266,231.34557723999023,575.2402744226355,600.0588469702177,,488.48094940185547,206.74705982208252,555.5808876608851,579.5512617455256,,491.9053649902344,186.6130256652832,627.323016546546,654.3886836932967,,490.18409729003906,170.84002017974854,663.7509205549806,692.3882589121608,,506.7276382446289,205.75366973876953,461.20893211720386,481.10765592063115,,511.53453826904297,175.2960205078125,375.28501114471607,391.4765726351972,,507.0332336425781,154.9614429473877,426.16547565219076,444.55225982748976,,500.17921447753906,140.33849716186523,525.7679790285548,548.4520839337839,,500.70018768310547,210.13134956359863,489.67635458670645,510.8032969645567,,505.4871368408203,176.9805908203125,405.01724874770053,422.49159888974515,,501.00650787353516,155.18866539001465,442.2933856868233,461.3760037997533,,494.66758728027344,138.94786834716797,529.1805267508001,552.0118650243842,,488.4349822998047,215.44196605682373,501.4167909826857,523.0502710377289,,492.23472595214844,183.84478569030762,425.38357848138946,443.73662793309364,,489.3494415283203,163.27208518981934,435.692037292916,454.489842169863,,485.28026580810547,146.99701309204102,519.0967504312158,541.4930271396263,,470.6990432739258,220.7521390914917,496.5422303471816,517.9653989164874,,470.0577926635742,200.66235065460205,357.57049743176117,372.9977714352937,,467.80574798583984,185.79922199249268,318.93579438164187,332.6961854787818,,465.07869720458984,172.74054050445557,335.82161360441785,350.31053840832305,,18.553129711800747,24.00235387880871,23.182050469821025,26.175547347731868,27.695530356486433,19.244306236825246,15.659062905407888,17.78209039309959,21.938083357351356,20.43213187858227,16.899663955589805,18.455040151990133,22.080474600975368,20.922010841509156,17.749465117323744,18.17959368679452,21.65972108558505,20.718615956659495,14.919910857411748,13.30784741915127,14.012421536332923
5,0.2,476.77867889404297,245.41803359985352,440.4277759810477,459.42990291161965,-109.95849708497474,489.85111236572266,217.30741024017334,446.59431267556664,465.86249301916473,-3354.9088487763242,500.0723648071289,191.05384826660156,487.74852640903197,508.7922932068432,-1768.9742134670596,504.7900390625,169.82731819152832,529.0172500395099,551.8415437873807,-2563.6784976478993,505.6962585449219,152.6829957962036,597.0263191759914,622.7848442204302,-1740.085367293267,514.5541381835938,188.7764024734497,467.36074469615863,487.5248866449743,160.43076810857855,521.0332489013672,159.40999031066895,462.7306580919847,482.69503631528124,2280.4615920021006,519.6408843994141,139.2956256866455,502.72425844922293,524.4141488037787,1996.5472244072246,515.5275726318359,123.06910514831543,577.6049680308275,602.5255645890315,1351.837016381191,508.2352066040039,192.22310543060303,485.72221875346935,506.6785611031163,-103.11839653600998,516.3971328735352,159.74604606628418,509.93721814090674,531.9383095211043,2736.167765783979,514.1173934936523,137.9502010345459,541.4448119837343,564.8052892385961,2585.7321359710695,509.55455780029297,120.81725120544434,586.4837855834621,611.7874561150383,1494.3897772663518,495.67378997802734,195.95209121704102,519.7689137207338,542.1941907166876,478.5979919739674,501.5043640136719,165.13867378234863,521.9224155135087,544.440604711288,2517.599419454858,500.7672882080078,144.158935546875,556.5966403478567,580.6108387835951,3153.0249153433033,498.8495635986328,127.61837482452393,591.4270155898823,616.9439603270188,1886.2733296848119,477.852783203125,199.5080280303955,560.4062420193546,584.5848045993741,1665.4851420721684,477.7949523925781,177.19675540924072,617.7063424937674,644.3571010653408,6783.983240751177,475.4783248901367,162.2350788116455,619.544833022506,646.2749127275159,7839.4681812183535,472.05455780029297,149.29245471954346,611.5939002042536,637.9809392500036,7191.760021042015,36.93032582826553,42.636853599575296,43.53374219809475,48.2492090992271,52.60692412530364,38.74530170262422,34.96686435801914,38.758656345250735,46.03910594091261,40.69927432270692,38.17719633643398,41.047251721533975,46.55197284557689,42.609778470176664,39.52708930577526,41.404027238138326,46.3374794986658,44.10200814063446,40.69419490002538,39.15884392825191,39.531659106333066
6,0.24,482.5421905517578,226.22045516967773,501.101963308969,522.7218602165735,1582.2989326238471,502.9510498046875,199.55811023712158,551.5013664438682,575.2957307847793,2735.8309441403635,515.9417724609375,174.13194179534912,579.9725305480931,604.9952748951574,2405.074542207855,522.0130157470703,152.53525257110596,610.1467340414137,636.4713355284637,2115.744793527074,524.5928955078125,134.45042610168457,656.4628160512875,684.7857112820008,1550.0216765392652,525.8155822753906,172.49353408813477,494.94439453220116,516.2986249449549,719.3434574995151,537.0666122436523,144.00715827941895,555.8304455095965,579.8115866942619,2427.9137594745166,541.6161346435547,122.8377914428711,686.3726808775956,715.9860284342088,4789.296990760752,542.9885864257812,105.34217834472656,817.141057472275,852.396368197587,6246.770090213886,517.3287963867188,173.89685153961182,511.45928284503145,533.5260432594763,671.187053909,526.9632720947266,141.32452011108398,530.916611013275,553.8228521320401,547.1135652733949,529.7568130493164,118.00368547439575,633.6673649426604,661.0067571360346,2405.036697435963,530.9080505371094,98.8857650756836,765.2457676790668,798.2620713809167,4661.865381646961,503.5417175292969,176.0444211959839,535.1516196481862,558.24057896962,401.1597063233097,510.49285888671875,144.37744617462158,565.5868699096087,589.9889491571032,1138.7086111453812,513.1568145751953,122.91747093200684,614.7663085412673,641.2902202121855,1516.9845357147608,515.1222991943359,105.661461353302,683.2404284686277,712.7186359157844,2394.36688971914,484.9342727661133,179.32223796844482,534.7976339559776,557.8713206687755,-667.8370982649653,483.34197998046875,157.01871871948242,523.1650550459983,545.7368575611318,-2465.506087605223,482.63118743896484,140.96863746643066,560.9283433135039,585.1294318003874,-1528.6370231782143,481.9852066040039,127.16923713684082,606.2458978594457,632.4021989160789,-139.46850834811926,57.83920023692847,65.64868283096646,67.73355319390105,73.70806252036564,79.99835257658367,59.39724670042242,58.15932782578962,67.3980974826191,80.13496066881609,62.040316053085974,60.33011042171558,67.48752200697535,78.48245570081356,64.93940162896146,63.12664727205939,67.05563604662575,74.84622493529717,66.41686096738549,62.52366920247064,62.5640212002674,64.82774706297623
7,0.28,495.2475357055664,211.7674970626831,481.08847517890956,501.8448960241251,-521.924104811211,517.242317199707,184.16460514068604,525.1192262893348,547.7753409483319,-688.0097459111852,531.4631271362305,159.52640533447266,532.819238969835,555.8075684125068,-1229.6926620662646,538.6907577514648,138.8728380203247,538.9855341997506,562.2399066375292,-1855.7857222733617,541.655158996582,121.00936889648438,543.0140733406812,566.4422559155025,-2958.586384162456,540.7473754882812,153.9882230758667,594.4561507237604,620.103786605831,2595.1290415219037,553.0704498291016,127.57823467254639,573.3848774720888,598.1233994636352,457.79531923433296,561.3726043701172,107.40280151367188,626.7759817964578,653.8180472897172,-1554.1995286122897,567.1013641357422,90.13953924179077,712.6299375307378,743.3761467073074,-2725.50553725699,531.4885711669922,153.81929397583008,614.2106415733108,640.7105791562354,2679.613397418979,542.0545959472656,122.44171142578125,604.3118604391893,630.3847180198377,1914.0466471949394,548.8527297973633,99.84110355377197,658.8500486034867,687.2759402809355,656.729578622523,555.4610443115234,80.76988220214844,762.8215369493626,795.7332479289842,-63.220586298314174,516.5673446655273,155.18600463867188,614.7868042919692,641.3116002460268,2076.7755319101725,525.1118850708008,124.48960304260254,617.070817965143,643.6941570177419,1342.6301965159666,530.9194183349609,103.58802795410156,656.2856933924296,684.6009467180918,1082.768162647656,537.5870513916016,86.36595726013184,740.346865282626,772.2889131596356,1489.2569310962813,496.1531066894531,158.70680809020996,586.7592051173439,612.0747585437496,1355.085946874351,494.9703598022461,137.55938529968262,566.7257242388376,591.1769390215994,1136.0020365116895,495.24654388427734,122.15243339538574,566.3461584388425,590.7809969667372,141.28912915874707,496.93763732910156,108.58014106750488,596.410972643783,622.1429487429714,-256.4812543276872,77.91299607789348,87.55969646889974,89.96585593040132,96.1976587858668,102.65604281320378,84.20139816465566,82.08426380433502,93.55081937420779,109.87000653710838,87.66873921933538,85.54549914250909,94.97855961821278,110.31178561797293,90.59186563880253,88.87441355276907,94.43967391534942,105.7377814616826,90.89985130913547,86.17074676333463,86.1952610789369,89.71346501269508
8,0.32,504.9508285522461,195.1819896697998,480.385878453335,501.1119859693546,-18.322751369262846,531.8951416015625,170.55025577545166,500.03485602897524,521.6087129066616,-654.1657010417566,552.5136947631836,145.7496213912964,628.9506008194753,656.0864896112517,2506.9730299686225,568.6357498168945,127.50482082366943,800.7552547369331,835.3036048198499,6826.5924545580165,585.0768661499023,117.0731520652771,1089.9938231049143,1137.0212861981372,14264.475757065868,553.7342071533203,142.6448106765747,431.0820698808933,449.6809790689525,-4260.5701884219625,572.3795318603516,119.34396028518677,524.7880069465361,547.4298312443502,-1267.339205482125,586.9440078735352,102.7985143661499,649.5653052577993,677.5906094128568,594.3140530784888,599.4230270385742,92.15978622436523,809.6184636431029,844.5492142689283,2529.326689040522,543.9862060546875,141.61241054534912,436.74855528631224,455.5919433215199,-4627.965895867888,559.8137664794922,111.71874046325684,518.6341703550816,541.010489182083,-2234.3557209438673,570.9873580932617,91.70476913452148,589.5664230917222,615.0030931124483,-1806.8211792121815,581.6781234741211,77.1051549911499,661.7993773365845,690.352516935265,-2634.518274842978,528.5452651977539,141.95129871368408,446.2538663678736,465.50735825560076,-4395.106049760652,539.9936294555664,110.98393678665161,502.4125153637663,524.0889556545372,-2990.130034080116,547.6302719116211,90.61187982559204,528.9335068758623,551.754187549554,-3321.168979213445,556.5837478637695,75.51346778869629,546.9523542910858,570.5504528398513,-5043.461507994607,507.83191680908203,143.9816951751709,469.8560658402453,490.12786768632077,-3048.67227143572,507.7763366699219,121.7471694946289,508.6865514495626,530.6336831829967,-1513.5813959650677,509.3992614746094,106.26588821411133,531.9079648940494,554.8569776845912,-898.1004820536498,512.5666809082031,93.11247825622559,549.7247015784858,573.4424122360322,-1217.5134126734804,97.95747551666766,108.42404498516622,116.20931551485138,129.6098029786608,148.13689426112927,102.18863732741376,103.98145705410903,120.65444375072205,143.6519751078655,105.89241695219619,107.1859187097924,119.57868334271072,137.92588629538352,109.21215996902656,109.83797177895056,116.50984141733157,128.55979957527666,110.5049660165883,107.3960940906545,108.38954018632053,112.65116150213639
9,0.36,518.7787246704102,184.92583751678467,430.40632549410054,448.9760798892272,-1303.3976520031842,543.7273025512695,163.83825302124023,340.0836420208948,354.7564507880019,-4171.306552966492,559.5597457885742,141.53865337371826,205.2119128752552,214.06572053403661,-11050.519226930379,568.9404678344727,122.97660827636719,113.46134238084748,118.3565986458082,-17923.675154351044,574.3451309204102,108.72714757919312,339.8767533217535,354.5406359367513,-19562.016256534647,566.9079208374023,131.9018268585205,424.9694353311957,443.30461669842254,-159.40905926324973,580.9019470214844,107.33736276626587,368.09470941598704,383.97604745197765,-4086.3445948093145,590.0595855712891,89.5037055015564,341.3747639479371,356.10327779106,-8037.183290544919,596.7146301269531,77.12498903274536,381.9199363282993,398.3977597154841,-11153.786363836105,557.1225357055664,129.99664306640625,438.38425697485076,457.29821687859453,42.65683892686525,569.8348617553711,101.9915771484375,349.1418557347157,364.2054784698358,-4420.125267806181,577.5524139404297,83.55093955993652,261.70701056693474,272.9982826088402,-8550.1202625902,584.5011901855469,70.11434555053711,188.48262899422807,196.6146566175502,-12343.446507942872,541.5637969970703,129.14740562438965,456.49606272391213,476.19145116271795,267.10232267792975,550.5825042724609,98.30180168151855,413.0381495037046,430.8585590511162,-2330.7599150855267,556.7409133911133,78.32268476486206,382.4494275460758,398.9500956762072,-3820.10229683367,563.4611129760742,64.14168119430542,332.2420815801273,346.5765685270511,-5599.3471078200055,520.546989440918,128.83267879486084,494.44777866560753,515.7805827327777,641.3178761614233,519.0320205688477,102.43540048599243,558.8128277179832,582.9226429063556,1307.2239930839714,521.4514541625977,84.63892936706543,618.9611748527806,645.6660727976245,2270.2273778258304,525.1766204833984,70.33409357070923,650.8962018687403,678.9789271668586,2638.4128732706613,115.91651871223674,122.61430301668629,124.77194433621285,134.34406692449315,162.31851969859932,119.92082199535066,119.34049895218814,134.89857486236446,159.58788549648486,124.18434562733997,121.75413784858583,130.49861464706433,145.79047256008553,128.25981801553527,127.0723141409952,132.46784524437987,142.4228623163587,131.1361893258994,130.71299980690873,134.2161830982255,139.81031858881073
10,0.4,523.1535720825195,178.27159881591797,199.0888347060054,207.67846395705874,-6032.440398304212,546.9416427612305,161.4685821533203,99.83524868389445,104.1426111417023,-6265.345991157491,564.3779754638672,141.81023597717285,120.64693923379532,125.85221596276399,-2205.3376142818156,575.9424591064453,126.73964023590088,198.7276580229417,207.30170441217243,2223.6276441591053,585.6492233276367,117.28965282440186,354.5234488236854,369.8192588107051,381.96557184884483,565.9864044189453,132.3200225830078,25.299211616487877,26.39073866495584,-10422.846950836667,584.4100189208984,116.82410717010498,252.86469681831733,263.77446983274456,-3005.039440480827,596.8762588500977,105.68862676620483,439.04634645223695,457.98887201186074,2547.139855520018,606.9196319580078,98.7043046951294,596.7667712497919,622.5140981752492,5602.908461494127,557.1977233886719,126.14287376403809,96.36256736787753,100.52010201110356,-8919.452871687274,573.6786651611328,105.85813522338867,136.30181576449078,142.18251753961164,-5550.574023255604,583.8134002685547,92.41084098815918,271.22154587945954,282.9233197506179,248.12592854444233,592.3370742797852,83.32207202911377,383.93124243739226,400.49584303542866,5097.029660446961,543.9927291870117,121.76891326904297,194.2000595733092,202.57876405832207,-6840.317177609897,551.9015502929688,95.75780868530273,71.64052087075375,74.73143008492859,-8903.17822415469,557.2175598144531,77.62763500213623,21.069616535842233,21.978658947848917,-9424.285918208956,562.5647354125977,63.971242904663086,22.8109341501009,23.795105198712932,-8069.536583208454,526.6556549072266,119.0841794013977,287.60762572863734,300.016372198186,-5394.105263364792,525.7579040527344,95.85946083068848,235.16017279321986,245.30608932284463,-8440.413839587774,526.196403503418,80.62307596206665,155.40596597579398,162.11091069609984,-12088.879052538116,527.1522521972656,68.20509910583496,72.61085533644001,75.74362934590621,-15080.88244552381,124.22365727051908,126.78000746235439,129.80603297472342,142.63613510098006,177.11129005102754,120.9764515419489,129.89147774549792,153.21812974283887,184.4884494234948,128.2051497077841,127.44143855017029,141.81554743708904,161.81030628150268,136.36296857786817,130.06157134439235,133.34699160229383,143.37466652430723,143.13684421382683,140.52524337982248,140.70061952606952,142.840063762647
11,0.44,524.0159225463867,170.2787160873413,200.98168858647148,209.65298446179145,49.363012618317725,544.0362167358398,152.96311855316162,224.70037194373091,234.3950034403721,3256.309807466745,557.2683334350586,130.99267959594727,323.6187338508812,337.5811689948673,5293.223825802584,562.9574966430664,114.2247462272644,450.8546205698991,470.3066106452769,6575.122655827613,566.0243988037109,101.75785303115845,625.6848959401783,652.6798868548943,7071.515701104731,564.02587890625,125.37453174591064,180.422253432971,188.20651852205714,4045.3944964275324,582.6106643676758,109.58828687667847,186.40475471230283,194.44713306052427,-1733.1834193055074,596.1689376831055,97.25979566574097,211.46142815153976,220.58486930986598,-5935.100067549869,606.5621566772461,89.90973472595215,220.04580420776878,229.53961574765614,-9824.362060689824,556.1721420288086,119.72220182418823,162.55161734983272,169.564859098201,1726.118927177436,572.4445343017578,98.67751121520996,182.1476738200597,190.00638166455798,1195.5966031236585,583.223762512207,83.60343217849731,220.67810639059232,230.19919842229183,-1318.1030332081518,592.1110916137695,72.91048765182495,260.3509139252541,271.58367757618004,-3222.8041364812157,544.1762924194336,115.55153131484985,155.50227856976758,162.21137866862924,-1009.1846347423207,553.0991363525391,90.12174367904663,144.04739047623735,150.26227279547805,1888.2710677637367,559.7335052490234,73.1575870513916,128.23637869109982,133.76909955453152,2794.761015167065,565.8711242675781,60.64382314682007,117.27086569461514,122.33048272313566,2463.384438110568,527.7719497680664,113.20152997970581,149.69067780524406,156.14903809744553,-3596.6833525185116,527.8007888793945,91.48193120956421,120.76874595383389,125.97927799793344,-2983.17028312278,529.0651702880859,76.65098190307617,122.49325001372947,127.77818527857373,-858.3181354381527,530.0201416015625,64.83462810516357,110.63697506271654,115.41037482996175,991.6686371013885,132.60977664899073,136.15580759996928,143.3092797345181,161.44839952679112,203.2184855252233,128.50471228283118,137.66936306791888,162.04152451523353,193.67003405340108,134.98774407171214,135.04169381675263,151.02351537398073,172.6736533845499,142.8514237246133,136.07206225621147,138.6977555844751,148.26788583323264,149.38280573772465,145.56441449973983,145.81174693721246,147.45647875584547
17,0.68,533.5882186889648,111.40979290008545,,,,544.6149444580078,110.62281131744385,,,,558.4991836547852,101.86325311660767,,,,577.2391128540039,93.1615948677063,,,,595.461540222168,87.61977910995483,,,,542.5951385498047,73.08075428009033,,,,573.165168762207,57.3905611038208,,,,592.0383071899414,64.23470735549927,,,,601.0913467407227,73.94339561462402,,,,538.3054733276367,65.24202346801758,,,,571.9925308227539,51.963229179382324,,,,591.9021224975586,60.06671905517578,,,,601.1620330810547,70.68029880523682,,,,539.0798187255859,61.70713663101196,,,,571.7928314208984,52.71888971328735,,,,589.1909408569336,61.1478066444397,,,,597.7272415161133,71.3160753250122,,,,541.7120361328125,61.385836601257324,,,,568.8532638549805,55.35069823265076,,,,584.2870712280273,61.00292444229126,,,,592.7977752685547,68.74804258346558,,,,132.60977664899073,136.15580759996928,143.3092797345181,161.44839952679112,203.2184855252233,128.50471228283118,137.66936306791888,162.04152451523353,193.67003405340108,134.98774407171214,135.04169381675263,151.02351537398073,172.6736533845499,142.8514237246133,136.07206225621147,138.6977555844751,148.26788583323264,149.38280573772465,145.56441449973983,145.81174693721246,147.45647875584547
