Metrika,Spearman_rho,p_vrednost
Povprečna hitrost (2-5 s),-0.08105902412067312,0.5276856535199227
Maksimalna hitrost (2-5 s),-0.1003096422269153,0.43408798298176215
Prepotovana pot (2-5 s),-0.14898826257536807,0.24385911996017687
Razmerje hitrosti,-0.03871726559272897,0.7632102165327384
Delež poti (2-5 s),-0.49165886617226756,4.275619032728562e-05
